name_list,location_list,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
ทากะ เฮ้าส์ เอกมัย 12,"สุขุมวิท, กรุงเทพ","฿12,888,000",สร้างเสร็จในปี 2019,2,2 ห้องนอน,2 ห้องน้ำ,67.5 ม.2,1290 ม. จาก BTS เอกมัย,"['ห้องสมุด', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องซักรีด']"
ไนท์บริดจ์ ไพร์ม อ่อนนุช,"พระโขนงเหนือ, กรุงเทพ","฿4,500,000",สร้างเสร็จในปี 2020,,1 ห้องนอน,1 ห้องน้ำ,23 ม.2,530 ม. จาก BTS อ่อนนุช,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ห้องสมุด']"
คอนโด La Habana Hua Hin 1 นอน ตกแต่งสวย,ประจวบคีรีขันธ์,"฿4,102,000",,4,1 ห้องนอน,1 ห้องน้ำ,33.7 ม.2,,"['สระว่ายน้ำ', 'สวน', 'ฟิตเนส', 'ระบบรักษาความปลอดภัย 24 ชม.']"
คอนโด Luna Phuket 3 นอน ห้องใหญ่,"เชิงทะเล, ภูเก็ต","฿18,500,000",,8,3 ห้องนอน,3 ห้องน้ำ,200 ม.2,,"['สวน', 'สระว่ายน้ำ', 'ลานจอดรถในร่ม']"
ไนท์บริจจ์ พหลโยธิน อินเตอร์เชนจ์,"อนุสาวรีย์, กรุงเทพ","฿3,326,000",สร้างเสร็จในปี 2020,14,1 ห้องนอน,1 ห้องน้ำ,29.45 ม.2,,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เตาบาร์บีคิว']"
ไนท์บริจจ์ พหลโยธิน อินเตอร์เชนจ์,"อนุสาวรีย์, กรุงเทพ","฿3,326,000",สร้างเสร็จในปี 2020,14,1 ห้องนอน,1 ห้องน้ำ,29.45 ม.2,,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เตาบาร์บีคิว']"
ไนท์บริดจ์ ไพร์ม อ่อนนุช,"พระโขนงเหนือ, กรุงเทพ","฿9,230,000",สร้างเสร็จในปี 2020,,2 ห้องนอน,2 ห้องน้ำ,55.15 ม.2,530 ม. จาก BTS อ่อนนุช,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ห้องสมุด']"
ไอดีโอ จรัญฯ 70 ริเวอร์วิว,"บางพลัด, กรุงเทพ","฿4,900,000",เตาไฟฟ้า,23,1 ห้องนอน,1 ห้องน้ำ,34 ม.2,380 ม. จาก MRT บางพลัด,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
28 ชิดลม,"ชิดลม, กรุงเทพ","฿16,410,000",สร้างเสร็จในปี 2017,24,1 ห้องนอน,1 ห้องน้ำ,43.85 ม.2,310 ม. จาก BTS ชิดลม,"['สระว่ายน้ำ', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถใต้ดิน']"
วินด์ สุขุมวิท 23,"พร้อมพงษ์, กรุงเทพ","฿7,990,000",สร้างเสร็จในปี 2009ตู้เย็นเตาไฟฟ้าระเบียงทีวี,19,1 ห้องนอน,1 ห้องน้ำ,52 ม.2,330 ม. จาก MRT สุขุมวิท,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ลานจอดรถ']"
คอนโด เดอะ เบส เพชรบุรี ทองหล่อ The Base Phetchaburi Thonglor 1 นอน วิวดี ใกล้ BTS พร้อมพงษ์,"บางกะปิ, กรุงเทพ","฿5,079,000",,27,1 ห้องนอน,1 ห้องน้ำ,32 ม.2,1950 ม. จาก ARL รามคำแหง,"['สระว่ายน้ำ', 'สวน', 'ฟิตเนส', 'ระบบรักษาความปลอดภัย 24 ชม.']"
คอนโด 1 นอน วิวดี ใกล้ BTS พร้อมพงษ์,"บางกะปิ, กรุงเทพ","฿4,590,000",ตู้เย็นเตาไฟฟ้าระเบียงทีวี,15,1 ห้องนอน,1 ห้องน้ำ,36 ม.2,1830 ม. จาก ARL รามคำแหง,"['สระว่ายน้ำ', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ห้องสมุด']"
ดิ เอส สุขุมวิท 36,"ทองหล่อ, กรุงเทพ","฿24,100,000",สร้างเสร็จในปี 2020,22,2 ห้องนอน,2 ห้องน้ำ,72.36 ม.2,90 ม. จาก BTS ทองหล่อ,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ห้องอบไอน้ำ', 'เตาบาร์บีคิว', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'จากุซซี่']"
เซ็นทริค รัชโยธิน,"รัชโยธิน, กรุงเทพ","฿5,290,000",สร้างเสร็จในปี 2019ตู้เย็นไมโครเวฟเตาไฟฟ้า,6,1 ห้องนอน,1 ห้องน้ำ,34.66 ม.2,250 ม. จาก BTS รัชโยธิน,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ห้องสมุด', 'สถานออกกำลังกาย', 'ฟิตเนส', 'ศาลา']"
คอนโด Hue Sukhumvit 2 นอน ตกแต่งสวย ใกล้ BTS ปุณณวิถี,"บางจาก, กรุงเทพ","฿6,123,750",,4,2 ห้องนอน,2 ห้องน้ำ,57.69 ม.2,70 ม. จาก BTS ปุณณวิถี,
ฟอร์จูน คอนโดทาวน์,"ช่องนนทรี, กรุงเทพ","฿6,200,000",สร้างเสร็จในปี 2012ตู้เย็นไมโครเวฟเตาไฟฟ้าตู้เสื้อผ้าวอล์คอินทีวี,10,2 ห้องนอน,2 ห้องน้ำ,97.99 ม.2,,"['กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
กมลา รีเจนท์,"เทพกระษัตรี, ภูเก็ต","฿8,141,700",สร้างเสร็จในปี 2012ตู้เย็นไมโครเวฟเตาไฟฟ้าอ่างอาบน้ำระเบียงทีวี,2,2 ห้องนอน,2 ห้องน้ำ,116.31 ม.2,,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'สถานออกกำลังกาย', 'ฟิตเนส', 'จากุซซี่']"
ไอดีโอ คิว สุขุมวิท 36,"พร้อมพงษ์, กรุงเทพ","฿8,090,000",สร้างเสร็จในปี 2020,8,1 ห้องนอน,1 ห้องน้ำ,33.95 ม.2,450 ม. จาก BTS ทองหล่อ,"['ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ห้องสัมนา', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ดาดฟ้า']"
คอนโด Vip Mercury Condominium 1 นอน ห้องสวย,"ราไวย์, ภูเก็ต","฿4,000,000",ตู้เย็นทีวี,8,1 ห้องนอน,1 ห้องน้ำ,29.65 ม.2,,"['สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
คอนโด Noww Mega 2 นอน ชั้นสูง,สมุทรปราการ,"฿3,702,000",,15,2 ห้องนอน,2 ห้องน้ำ,49.53 ม.2,,"['สระว่ายน้ำ', 'สวน', 'ฟิตเนส', 'ระบบรักษาความปลอดภัย 24 ชม.']"
โนเบิล สเตท 39,"พร้อมพงษ์, กรุงเทพ","฿7,135,000",สร้างเสร็จในปี 2022,15,1 ห้องนอน,1 ห้องน้ำ,29.81 ม.2,440 ม. จาก BTS พร้อมพงษ์,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'บริการรถรับส่ง', 'ห้องสัมนา', 'ดาดฟ้า', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
ชาโตว์ อินทาวน์ สุขุมวิท 64 1,"บางจาก, กรุงเทพ","฿3,300,000",สร้างเสร็จในปี 2014ตู้เย็นเตาไฟฟ้าทีวี,8,1 ห้องนอน,1 ห้องน้ำ,38.5 ม.2,460 ม. จาก BTS ปุณณวิถี,"['สระว่ายน้ำ', 'เซาว์น่า', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'บริการรถรับส่ง', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ห้องอบไอน้ำ']"
เดอะ ไลน์ สุขุมวิท 101,"บางจาก, กรุงเทพ","฿5,050,000",สร้างเสร็จในปี 2020ตู้เย็นไมโครเวฟเตาไฟฟ้า,25,1 ห้องนอน,1 ห้องน้ำ,32 ม.2,180 ม. จาก BTS ปุณณวิถี,"['เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ห้องสมุด', 'ฟิตเนส', 'สระว่ายน้ำ']"
เดอะ เบส พาร์ค อีสท์ สุขุมวิท 77,"พระโขนงเหนือ, กรุงเทพ","฿3,790,000",สร้างเสร็จในปี 2015,24,1 ห้องนอน,1 ห้องน้ำ,31 ม.2,870 ม. จาก BTS อ่อนนุช,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะ เบส ดาวน์ทาวน์ ภูเก็ต,"กะทู้, ภูเก็ต","฿3,500,000",สร้างเสร็จในปี 2014ตู้เย็นไมโครเวฟเตาไฟฟ้าระเบียงทีวี,6,1 ห้องนอน,1 ห้องน้ำ,32 ม.2,,"['สระว่ายน้ำ', 'สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสัมนา', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'สถานออกกำลังกาย']"
คอนโด 2 นอน ห้องกว้าง ใกล้ BTS พร้อมพงษ์,"พร้อมพงษ์, กรุงเทพ","฿7,500,000",ตู้เย็นไมโครเวฟระเบียงทีวี,7,2 ห้องนอน,2 ห้องน้ำ,105 ม.2,570 ม. จาก BTS พร้อมพงษ์,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ลานจอดรถ']"
เดอะ รูม สาทร เซนต์หลุยส์,"ทุ่งวัดดอน, กรุงเทพ","฿5,400,000",สร้างเสร็จในปี 2016ตู้เย็นทีวี,,1 ห้องนอน,1 ห้องน้ำ,35 ม.2,1460 ม. จาก BTS สุรศักดิ์,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
28 ชิดลม,"ชิดลม, กรุงเทพ","฿12,500,000",สร้างเสร็จในปี 2017ตู้เย็นไมโครเวฟเตาไฟฟ้าระเบียง,3,1 ห้องนอน,1 ห้องน้ำ,33.5 ม.2,310 ม. จาก BTS ชิดลม,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'สถานออกกำลังกาย', 'ฟิตเนส', 'ห้องอบไอน้ำ']"
ศุภาลัยเวลลิงตัน 2,"ห้วยขวาง, กรุงเทพ","฿3,990,000",สร้างเสร็จในปี 2017,20,1 ห้องนอน,1 ห้องน้ำ,42 ม.2,1150 ม. จาก MRT ศูนย์วัฒนธรรมแห่งประเทศไทย,"['ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'เกมรูม', 'ห้องสัมนา', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามเทนนิส']"
บ้านเพลินจิต คอนโดมิเนียม,"เพลินจิต, กรุงเทพ","฿15,000,000",เตาไฟฟ้าระเบียง,12,2 ห้องนอน,2 ห้องน้ำ,128 ม.2,660 ม. จาก Phloen Chit,"['สระว่ายน้ำ', 'เซาว์น่า', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ฟิตเนส', 'ลานจอดรถ']"
ลุมพินี เพลส นราธิวาส เจ้าพระยา,"พระราม 3, กรุงเทพ","฿4,150,000",สร้างเสร็จในปี 2007,6,2 ห้องนอน,2 ห้องน้ำ,68.1 ม.2,,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ภัตตาคารใกล้เคียง', 'ร้านค้าใกล้เคียง', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
ไนท์บริดจ์ สเปซ พระราม 9,"พระราม 9, กรุงเทพ","฿10,269,500",สร้างเสร็จในปี 2015,,1 ห้องนอน,1 ห้องน้ำ,50 ม.2,370 ม. จาก MRT พระราม 9,"['สระว่ายน้ำ', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'สถานออกกำลังกาย', 'ฟิตเนส', 'มินิมาร์ทใกล้เคียง']"
ไนท์บริดจ์ เกษตร โซไซตี้,"ลาดยาว, กรุงเทพ","฿3,870,000",สร้างเสร็จในปี 2020,,1 ห้องนอน,1 ห้องน้ำ,23.3 ม.2,140 ม. จาก BTS เสนานิคม,"['สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
เดอะ ลิ้งค์ สุขุมวิท 64 สุขุมวิท,"บางจาก, กรุงเทพ","฿6,300,000",สร้างเสร็จในปี 2014ตู้เย็นไมโครเวฟเตาไฟฟ้าตู้เสื้อผ้าวอล์คอินทีวี,8,2 ห้องนอน,2 ห้องน้ำ,69 ม.2,480 ม. จาก BTS ปุณณวิถี,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ลานจอดรถ', 'สถานออกกำลังกาย', 'ฟิตเนส', 'ห้องซักรีด']"
เซ็นทริคซีน พหลโยธิน 9,"อารีย์, กรุงเทพ","฿4,490,000",สร้างเสร็จในปี 2013ตู้เย็นไมโครเวฟระเบียง,9,1 ห้องนอน,1 ห้องน้ำ,47 ม.2,750 ม. จาก BTS อารีย์,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'ฟิตเนส', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
ไอดิโอ คิว พญาไท,"ทุ่งพญาไท, กรุงเทพ","฿7,400,000",สร้างเสร็จในปี 2010ตู้เย็นไมโครเวฟเตาไฟฟ้าอ่างอาบน้ำทีวี,33,1 ห้องนอน,1 ห้องน้ำ,41 ม.2,250 ม. จาก ARL พญาไท,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ห้องสมุด', 'ฟิตเนส', 'ฟิตเนส']"
เดอะ พีค สุขุมวิท 15 คอนโดมิเนียม,"สุขุมวิท, กรุงเทพ","฿22,000,000",,7,3 ห้องนอน,3 ห้องน้ำ,240 ม.2,380 ม. จาก ARL มักกะสัน,
คีนน์ บาย แสนสิริ,"พร้อมพงษ์, กรุงเทพ","฿6,300,000",สร้างเสร็จในปี 2013ตู้เย็นไมโครเวฟเตาไฟฟ้าทีวี,12A,1 ห้องนอน,1 ห้องน้ำ,34 ม.2,190 ม. จาก BTS ทองหล่อ,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'เซาว์น่า', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
คลิก คอนโด สุขุมวิท 65 คอนโดมิเนียม,"เอกมัย, กรุงเทพ","฿3,900,000",,3,1 ห้องนอน,1 ห้องน้ำ,54 ม.2,420 ม. จาก BTS เอกมัย,
คอนโด Layan Green Park 1 นอน ห้องสวย,"หาดลายัน, ภูเก็ต","฿3,151,200",,8,1 ห้องนอน,1 ห้องน้ำ,30.3 ม.2,,"['สระว่ายน้ำ', 'สวน', 'สนามเด็กเล่น', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'บริการรถรับส่ง', 'ฟิตเนส', 'ลานจอดรถในร่ม']"
พาร์ค 24,"พร้อมพงษ์, กรุงเทพ","฿7,200,000",สร้างเสร็จในปี 2018,25,1 ห้องนอน,1 ห้องน้ำ,29 ม.2,660 ม. จาก BTS พร้อมพงษ์,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'จากุซซี่']"
โนเบิล รีไฟน์ พร้อมพงษ์,"พร้อมพงษ์, กรุงเทพ","฿9,793,000",สร้างเสร็จในปี 2012ตู้เย็นไมโครเวฟทีวี,24,1 ห้องนอน,1 ห้องน้ำ,52 ม.2,270 ม. จาก BTS พร้อมพงษ์,"['เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
